Undergraduate Major,Starting Median Salary,Mid-Career Median Salary
Liberal Arts,51400.0,86300.0
Apparel Merchandising,53900.0,86200.0
German Language & Literature,56400.0,86200.0
Organizational Management,55500.0,86200.0
Zoology,46800.0,86100.0
Creative Writing,51200.0,85900.0
Geomatics,57800.0,85800.0
Law Enforcement,52800.0,85700.0
Administration,49200.0,85600.0
Cytotechnology,66800.0,85600.0
Fashion Marketing & Management,54400.0,85600.0
Applied Management,49800.0,85400.0
Management & Leadership,59500.0,85400.0
Human Resources (HR),53800.0,85300.0
Animal Science & Management,51500.0,85200.0
Adult Education & Training,55200.0,85100.0
Agricultural Communication,51300.0,84900.0
Health & Fitness,44100.0,84900.0
Criminal Justice Administration,51900.0,84800.0
Emergency Management,58100.0,84800.0
Media Arts,51300.0,84800.0
Sociology & Anthropology,51200.0,84800.0
Radiology,62300.0,84800.0
Communication Design,58500.0,84700.0
Earth Science,56800.0,84700.0
Modern Languages,57700.0,84700.0
Training and Development,59600.0,84700.0
Hospital Administration,59800.0,84400.0
Human Relations,51100.0,84400.0
Natural Resources,54200.0,84300.0
Ethnic Studies,54500.0,84200.0
Hotel & Restaurant Management,54200.0,84200.0
Broadcast Communication,45900.0,83800.0
Mass Media,45800.0,83800.0
Advertising & Graphic Design,53000.0,83700.0
Radiologic Technology,62000.0,83700.0
Merchandising,59300.0,83600.0
Romance Languages,57400.0,83600.0
Environmental Health Science,61500.0,83500.0
Criminology,50700.0,83400.0
Psychology,51000.0,83400.0
Cardiopulmonary Science,56500.0,83200.0
Labor Studies,53700.0,83200.0
Medical Laboratory Technology,64300.0,83000.0
Visual Communications,51200.0,83000.0
Audio Engineering,53800.0,82800.0
Middle Eastern Studies,65300.0,82700.0
Health,49600.0,82700.0
Hospitality Management,53100.0,82600.0
Health Care Management,51700.0,82600.0
Painting & Printmaking,39300.0,82600.0
Multimedia & Web Design,55700.0,82500.0
Health Administration,48700.0,82400.0
Natural Resource Management,52800.0,82400.0
Psychology & Social Behavior,51100.0,82400.0
Communication Management,51700.0,82300.0
Health Sciences,50700.0,82300.0
Nutrition Science,57100.0,82300.0
Web Design,53900.0,82300.0
Health Management,50400.0,82200.0
Life Sciences,59700.0,82200.0
Anthropology,53200.0,82100.0
Music,51000.0,82100.0
Ecology,53200.0,82000.0
Human Resources Development,55200.0,82000.0
SocialStudies,52700.0,82000.0
New Media,51600.0,81900.0
Psychiatry,64300.0,81900.0
Sociology,52800.0,81800.0
Health Care Administration,52100.0,81600.0
Interior Design,51300.0,81500.0
Respiratory Care,61800.0,81500.0
Health Information Management,55000.0,81300.0
Art & Design,51100.0,81300.0
Child Psychology,48400.0,81100.0
Clinical Laboratory Science,61700.0,81000.0
Diagnostic Medical Imaging,68300.0,81000.0
Humanities,55900.0,81000.0
Medical Laboratory Science,62700.0,81000.0
Theater,51200.0,81000.0
Kinesiology,51100.0,80900.0
Exercise Physiology,49100.0,80800.0
Forensic Accounting,51900.0,80800.0
Secondary Education,50700.0,80800.0
Multidisciplinary Studies,49600.0,80700.0
Archaeology,51100.0,80500.0
Communication Arts,47800.0,80500.0
Arts & Science,51700.0,80400.0
Illustration,51300.0,80400.0
Sustainability,54900.0,80400.0
Hotel & Restaurant Tourism,48900.0,80300.0
Radiography,62400.0,80300.0
Media Communication,53000.0,80200.0
Respiratory Therapy,61800.0,80200.0
Applied Behavior Analysis,43400.0,80000.0
Technology Teacher Education,54000.0,79800.0
Professional Studies,47500.0,79300.0
Communications Technology,52500.0,79200.0
Biological Anthropology,52200.0,79000.0
Art Therapy,46100.0,79000.0
Commercial Photography,48900.0,79000.0
Liberal Studies,51000.0,78900.0
Radio & Television,49000.0,78900.0
Nutrition,52800.0,78600.0
Plant Sciences,55500.0,78400.0
Graphic Design,51300.0,78300.0
Legal Studies,53300.0,78200.0
Nutrition & Dietetics,57200.0,78200.0
Turfgrass Management,53300.0,78100.0
Dietetics,57500.0,78000.0
Interdisciplinary Studies (IS),50700.0,78000.0
Fashion Design & Marketing,55900.0,77900.0
Applied Sociology,47500.0,77800.0
Hospital Management,62300.0,77800.0
Religion,50500.0,77800.0
Medical Technology,61000.0,77700.0
Art Administration,45600.0,77600.0
Criminal Justice,48600.0,77600.0
Fine Arts,49000.0,77600.0
Criminal Law,62800.0,77400.0
Forensic Science,51300.0,77400.0
Philosophy & Religious Studies,55600.0,77300.0
Public Health (PH),52300.0,77300.0
Speech-Language Pathology,49600.0,77100.0
Landscape Management,58700.0,77000.0
Women's Studies,51200.0,77000.0
Forensic Psychology,48300.0,76900.0
Modern Language Spanish,51100.0,76900.0
Educational Studies (ED),45300.0,76800.0
Physical Geography,55000.0,76800.0
Culture Studies,50700.0,76700.0
Pastoral Studies,58900.0,76700.0
Dramatic Art,47100.0,76600.0
Music Industry,52200.0,76400.0
Performing Arts,51300.0,76300.0
African American & African Studies,54300.0,76100.0
Animal Science,46800.0,76000.0
Ornamental Horticulture,51600.0,76000.0
Hospitality & Tourism,51400.0,75900.0
Education,50600.0,75800.0
Foods & Nutrition,52800.0,75300.0
Fashion & Retail Management,55800.0,75000.0
Music Composition,49400.0,74900.0
Small Business Management,52900.0,74900.0
Clinical Nutrition,58700.0,74800.0
Painting,47400.0,74700.0
Speech Pathology & Audiology,51400.0,74600.0
Psychology & Sociology,48600.0,74400.0
Physical Education Teaching,48000.0,74400.0
Clinical Psychology,47500.0,74300.0
Health Studies,49500.0,74200.0
Instrumental Music Teacher Education,48000.0,74200.0
Technical Theatre,46400.0,74100.0
Art,49500.0,73900.0
Social & Criminal Justice,49900.0,73900.0
Consumer Affairs,57200.0,73800.0
Family & Consumer Science,49400.0,73800.0
Network Technology,63500.0,73700.0
